"","date","id_CH","abundance","unit","depth","order","genus","species","volume_um.3","kremer_key","mdn_nu.biovol","volume_um.3.1","species_buergi","occurrences","lake"
"1",1986-01-13,2,660000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"TEST"
"2",1986-02-10,1,700000,"indv./L","0_15m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"TEST"
"3",1986-03-17,1,830000,"indv./L","0_15m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"TEST"
"4",1986-04-07,1,680000,"indv./L","0_15m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"TEST"
"5",1986-05-05,1,190000,"indv./L","0_15m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"TEST"
"6",1986-06-30,1,62000,"indv./L","0_15m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"TEST"
"7",1986-07-28,1,9600,"indv./L","0_15m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"TEST"
"8",1986-08-25,4,1900000,"indv./L","0_15m","Burkholderiales","Lampropedia","hyalina",NA,"",NA,10,"Lampropedia hyalina",1,"TEST"
"9",1986-09-22,2,34000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"TEST"
"10",1986-10-20,2,1300000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"TEST"
"11",1986-11-17,2,1000000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"TEST"
"12",1986-12-15,1,11000,"indv./L","0_15m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"TEST"
"13",1986-12-15,2,190000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"TEST"
"14",1987-01-12,2,260000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"TEST"
"15",1987-02-09,1,27000,"indv./L","0_15m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"TEST"
"16",1987-02-09,2,310000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"TEST"
"17",1987-03-09,2,1700000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"TEST"
"18",1987-04-06,2,4300000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"TEST"
